corpus,filename,source_url,download_date,page_count
jfk,176-10036-10206.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/176-10036-10206.PDF,2026-03-27,0
jfk,177-10001-10033.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/177-10001-10033.PDF,2026-03-27,0
jfk,177-10001-10437.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/177-10001-10437.PDF,2026-03-27,0
jfk,177-10002-10100.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/177-10002-10100.PDF,2026-03-27,0
jfk,177-10002-10104.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/177-10002-10104.PDF,2026-03-27,0
jfk,177-10002-10106.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/177-10002-10106.PDF,2026-03-27,0
jfk,178-10002-10103.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/178-10002-10103.PDF,2026-03-27,0
jfk,179-10003-10015.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10015.PDF,2026-03-27,0
jfk,179-10003-10016.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10016.PDF,2026-03-27,0
jfk,179-10003-10023.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10023.PDF,2026-03-27,0
jfk,179-10003-10046.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10046.PDF,2026-03-27,0
jfk,179-10003-10047.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10047.PDF,2026-03-27,0
jfk,179-10003-10074.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10074.PDF,2026-03-27,0
jfk,179-10003-10078.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10003-10078.PDF,2026-03-27,0
jfk,179-10006-10000.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/179-10006-10000.PDF,2026-03-27,0
jfk,180-10110-10014.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10110-10014.PDF,2026-03-27,0
jfk,180-10110-10016.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10110-10016.PDF,2026-03-27,0
jfk,180-10110-10017.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10110-10017.PDF,2026-03-27,0
jfk,180-10142-10055.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10142-10055.pdf,2026-03-27,0
jfk,180-10142-10194.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10142-10194.pdf,2026-03-27,0
jfk,180-10143-10099.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10143-10099.PDF,2026-03-27,0
jfk,180-10145-10158.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10145-10158.PDF,2026-03-27,0
jfk,180-10145-10371.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/180-10145-10371.PDF,2026-03-27,0
jfk,194-10005-10031.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/194-10005-10031.PDF,2026-03-27,0
jfk,203-10001-10000.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/203-10001-10000.pdf,2026-03-27,0
jfk,203-10001-10012.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/203-10001-10012.PDF,2026-03-27,0
jfk,104-10003-10041.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10003-10041.pdf,2026-03-27,0
jfk,104-10004-10143 (C06932208).pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10143 (C06932208).pdf,2026-03-27,0
jfk,104-10004-10143.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10143.pdf,2026-03-27,0
jfk,104-10004-10156.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10156.pdf,2026-03-27,0
jfk,104-10004-10213.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10213.pdf,2026-03-27,0
jfk,104-10005-10321.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10005-10321.pdf,2026-03-27,0
jfk,104-10006-10247.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10006-10247.pdf,2026-03-27,0
jfk,104-10007-10345.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10007-10345.pdf,2026-03-27,0
jfk,104-10009-10021.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10009-10021.pdf,2026-03-27,0
jfk,104-10009-10222.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10009-10222.pdf,2026-03-27,0
jfk,104-10012-10022.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10022.pdf,2026-03-27,0
jfk,104-10012-10024.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10024.pdf,2026-03-27,0
jfk,104-10012-10035.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10035.pdf,2026-03-27,0
jfk,104-10012-10076.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10076.pdf,2026-03-27,0
jfk,104-10012-10078.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10078.pdf,2026-03-27,0
jfk,104-10012-10079.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10079.pdf,2026-03-27,0
